HAN,BEZEICHNUNG,EINHEIT,WAEHRUNG,PREIS0,ABMENGE0,PREIS1,ABMENGE1,PREIS2,ABMENGE2,PREIS3,ABMENGE3,PREIS4,ABMENGE4,PREIS5,ABMENGE5,PREIS6,ABMENGE6,PREIS7,ABMENGE7,PREIS8,ABMENGE8,PREIS9,ABMENGE9
226100510,"ARCHIV-ABLAGEBOX 100 SELECT, 319x94x257mm",Stck.,EUR,0.877,20,0.394,140,0.386,1280,0.350,2560,,,,,,,,,,,,
226104020,"Archiv-Stehsammler 75, 260x75x315mm",Stck.,EUR,0.782,20,0.290,160,0.266,1980,0.243,3960,,,,,,,,,,,,
226110830,"ARCHIV-ABLAGEBOX 50, 250x45x317mm,",Stck.,EUR,0.754,30,0.519,130,0.475,960,0.427,1920,,,,,,,,,,,,
226110920,"ARCHIV-ABLAGEBOX, 250x70x317mm,",Stck.,EUR,1.021,20,0.604,120,0.574,800,0.516,1600,,,,,,,,,,,,
226111020,"ARCHIV-STEHSAMMLER, 260x75x515mm,",Stck.,EUR,0.841,20,0.419,80,0.324,1980,0.301,3960,,,,,,,,,,,,
226131220,"ARCHIV-ABLAGEBOX, 315x96x260mm,",Stck.,EUR,1.307,20,0.766,180,0.753,1400,0.735,2800,,,,,,,,,,,,
226141220,"ARCHIV-ABLAGEBOX, 315x96x260mm,",Stck.,EUR,1.307,20,0.766,180,0.753,1400,0.735,2800,,,,,,,,,,,,
226151220,"ARCHIV-ABLAGEBOX, 315x96x260mm,",Stck.,EUR,1.307,20,0.766,180,0.753,1400,0.735,2800,,,,,,,,,,,,
226161220,"ARCHIV-ABLAGEBOX, 315x96x260mm,",Stck.,EUR,1.307,20,0.766,180,0.753,1400,0.735,2800,,,,,,,,,,,,
226161310,"ARCHIVBOX FÜR HÄNGEMAPPEN, 330x120x265mm,",Stck.,EUR,1.721,10,0.820,50,0.701,880,0.648,1760,,,,,,,,,,,,
227100105,"ARCHIVBOX, 297x334x330 mm, wiederverschließbar",Stck.,EUR,3.274,5,1.772,15,1.353,280,1.187,560,,,,,,,,,,,,
227100210,"ARCHIVBOX, 426x326x295mm, braun,",Stck.,EUR,2.119,10,1.399,30,1.379,240,1.185,480,,,,,,,,,,,,
227100310,"ARCHIVBOX, 414x331x266mm, wiederverschließbar,",Stck.,EUR,2.037,10,1.336,30,1.331,220,1.122,440,,,,,,,,,,,,
227160410,"Archivbox f. Ordner m. Klappdeckel, 504x325x305mm",Stck.,EUR,2.923,10,2.597,20,2.569,120,2.183,240,,,,,,,,,,,,
227160510,"ARCHIVBOX F. ORDNER M. FRONTKL., 498x295x322mm",Stck.,EUR,2.455,10,1.705,30,1.639,300,1.484,600,,,,,,,,,,,,
227160610,"Archivbox S mit Deckel, 413x330x265mm",Stck.,EUR,2.378,10,1.685,30,1.674,220,1.463,440,,,,,,,,,,,,
227160705,"ARCHIV-BOX MIT DECKEL, 440x380x290mm,",Stck.,EUR,4.120,5,2.318,25,2.290,220,2.079,440,,,,,,,,,,,,
227160805,"Klappdeckelcontainer, 522x333x268mm,",Stck.,EUR,3.715,5,2.502,15,2.390,100,1.926,200,,,,,,,,,,,,
229100820,"Wellpappcontainer mit X-Faltung, 1180x780x765mm",Stck.,EUR,16.398,1,,,,,,,,,,,,,,,,,,
229101010,"Einkaufskorb, 500x330x260mm ",Stck.,EUR,0.770,450,0.666,900,,,,,,,,,,,,,,,,
229105002,"Einkaufskorb, 500x330x260mm, 2er Pack",Stck.,EUR,6.370,2,,,,,,,,,,,,,,,,,,
229105010,"Einkaufskorb, 500x330x260mm ",Stck.,EUR,2.990,5,1.865,10,1.188,25,0.964,50,,,,,,,,,,,,
230110125,"VERSANDTASCHE AUS VOLLPAPPE A5, 167x240x-50mm,",Stck.,EUR,0.243,100,0.170,500,0.160,6000,0.152,12000,,,,,,,,,,,,
230110225,"VERSANDTASCHE AUS VOLLPAPPE B5+, 205x262x-50mm",Stck.,EUR,0.250,100,0.180,400,0.175,4400,0.170,8800,,,,,,,,,,,,
230110325,"VERSANDTASCHE AUS VOLLPAPPE A4, 235x308x-50mm",Stck.,EUR,0.299,100,0.234,300,0.221,4000,0.211,8000,,,,,,,,,,,,
230110425,"VERSANDTASCHE AUS VOLLPAPPE A4+, 237x342x-50mm",Stck.,EUR,0.310,100,0.260,200,0.249,2800,0.240,5600,,,,,,,,,,,,
230110525,"VERSANDTASCHE AUS VOLLPAPPE C4, 255x342x-50mm,",Stck.,EUR,0.340,100,0.290,200,0.280,2100,0.260,4200,,,,,,,,,,,,
230110625,"VERSANDTASCHE AUS VOLLPAPPE B4, 285x365x-50mm,",Stck.,EUR,0.450,100,0.400,200,0.390,2200,0.370,4400,,,,,,,,,,,,
230110725,"VERSANDTASCHE AUS VOLLPAPPE A3, 309x447x-50mm,",Stck.,EUR,0.465,100,0.412,1800,0.390,3600,,,,,,,,,,,,,,
230111025,"CD-MAILER DIN LANG, 218x121mm, Fenster links",Stck.,EUR,0.260,100,0.170,800,0.160,14000,0.158,28000,,,,,,,,,,,,
230111125,"CD-MAILER DIN LANG, 218x121mm, ohne Fenster",Stck.,EUR,0.260,100,0.170,800,0.160,14000,0.158,28000,,,,,,,,,,,,
231101020,"Versandkarton, 217x172x110mm",Stck.,EUR,0.697,20,0.415,40,0.275,80,0.246,100,0.196,180,0.187,1760,0.160,3520,,,,,,
231101120,"Versandkarton, 304x217x110mm,",Stck.,EUR,0.762,20,0.480,40,0.340,80,0.311,100,0.307,120,0.304,880,0.251,1760,,,,,,
231101220,"Versandkarton, 304x217x150mm",Stck.,EUR,0.783,20,0.502,40,0.361,80,0.333,100,0.329,120,0.325,880,0.273,1760,,,,,,
231101320,"Versandkarton, 427x304x150mm",Stck.,EUR,0.935,20,0.654,40,0.594,60,0.583,440,0.478,880,,,,,,,,,,
231101420,"Versandkarton, 427x304x200mm",Stck.,EUR,0.981,20,0.699,40,0.647,60,0.629,440,0.523,880,,,,,,,,,,
231101520,"Versandkarton, 427x304x250mm",Stck.,EUR,0.999,20,0.717,40,0.652,60,0.647,440,0.541,880,,,,,,,,,,
231101620,"Versandkarton, 500x300x300mm,",Stck.,EUR,1.142,20,0.806,60,0.790,440,0.684,880,,,,,,,,,,,,
231101720,"Versandkarton, 500x400x400mm,",Stck.,EUR,1.113,20,0.986,220,0.806,440,,,,,,,,,,,,,,
231102010,"Versandkarton, 217x172x110mm,",Stck.,EUR,1.322,10,0.384,60,0.290,120,0.270,1260,0.233,2520,,,,,,,,,,
231102110,"Versandkarton, 304x217x150mm,",Stck.,EUR,1.455,10,0.516,60,0.494,560,0.411,1120,,,,,,,,,,,,
231102210,"Versandkarton, 427x304x200mm,",Stck.,EUR,1.721,10,1.158,20,0.970,30,0.904,300,0.750,600,,,,,,,,,,
231102310,"Versandkarton, 427x304x250mm,",Stck.,EUR,1.769,10,1.206,20,1.018,30,0.952,300,0.797,600,,,,,,,,,,
231102410,"Versandkarton, 500x300x300mm,",Stck.,EUR,1.560,10,1.231,20,1.043,30,0.977,300,0.823,600,,,,,,,,,,
231102510,"Versandkarton, 500x400x400mm",Stck.,EUR,2.262,10,1.802,20,1.798,140,1.467,280,,,,,,,,,,,,
231102610,"Versandkarton, 600x500x500mm",Stck.,EUR,2.914,150,2.296,300,,,,,,,,,,,,,,,,
231110125,"Versandkarton, 195x145x90mm,",Stck.,EUR,0.551,25,0.157,200,0.142,2250,0.121,4500,,,,,,,,,,,,
231110225,"Versandkarton, 295x195x90mm",Stck.,EUR,0.616,25,0.278,100,0.268,900,0.217,1800,,,,,,,,,,,,
231110325,"Versandkarton, 295x195x140mm",Stck.,EUR,0.641,25,0.303,100,0.294,900,0.242,1800,,,,,,,,,,,,
231110425,"Versandkarton, 295x195x190mm,",Stck.,EUR,0.665,25,0.327,100,0.318,900,0.266,1800,,,,,,,,,,,,
231110525,"Versandkarton, 395x295x90mm",Stck.,EUR,0.741,25,0.515,50,0.428,675,0.359,1350,,,,,,,,,,,,
231110625,"Versandkarton, 395x295x140mm,",Stck.,EUR,0.774,25,0.549,50,0.426,900,0.375,1800,,,,,,,,,,,,
231110725,"Versandkarton, 395x295x190mm",Stck.,EUR,0.798,25,0.572,50,0.553,450,0.450,900,,,,,,,,,,,,
231110825,"Versandkarton, 395x295x290mm,",Stck.,EUR,0.893,25,0.668,50,0.649,450,0.546,900,,,,,,,,,,,,
231110925,"Versandkarton, 600x400x200mm",Stck.,EUR,1.102,25,1.064,225,0.858,450,,,,,,,,,,,,,,
243113010,"SOFT-FILL, ca. 15 Liter, antistatisch,",Pck.,EUR,11.986,1,2.170,10,2.010,120,,,,,,,,,,,,,,
243113200,"SOFT-FILL, ca. 200 liter im Karton,",Pck.,EUR,17.650,1,,,,,,,,,,,,,,,,,,
243120312,"Luftpolsterfolie, 0,4 x 5m ",Stck.,EUR,1.824,12,1.274,36,1.271,240,1.103,480,,,,,,,,,,,,
243120801,"Luftpolsterfolie, 1,0 x 25m ",Stck.,EUR,15.684,1,9.728,18,7.492,36,,,,,,,,,,,,,,
243122210,"STRETCHFOLIE 100 mm x 150 m, 10 Rollen im UK",Stck.,EUR,1.630,10,0.790,70,0.770,820,0.710,1640,,,,,,,,,,,,
243123240,"STRETCHFOLIE 23mµ, 0,10 x 150 m, transparent,",Stck.,EUR,0.990,40,0.850,960,12.190,1920,,,,,,,,,,,,,,
244140532,"Handabroller f. Stretchfolie, 400-500mm",Stck.,EUR,12.190,1,2.720,32,2.729,256,2.572,512,,,,,,,,,,,,
244160612,"Handabroller f. Stretchfolie, 100mm",Stck.,EUR,1.650,12,0.900,132,0.870,1440,0.840,2880,,,,,,,,,,,,
245100237,"Papierklebeband, 50mm x 50m, Hotmelt ",Stck.,EUR,2.590,6,1.900,12,1.320,36,1.190,72,1.120,108,1.070,2160,,,,,,,,
245101836,"PP Klebeband braun, 50mmx66m, low noise",Stck.,EUR,0.728,36,0.520,144,0.510,1296,0.480,2592,,,,,,,,,,,,
245121836,"PP Klebeband transparent, 50mmx66m, low noise",Stck.,EUR,0.728,36,0.520,144,0.510,1296,0.480,2592,,,,,,,,,,,,
245141236,"PP Signalklebeband `Vorsicht Glas` - 3-sprachig",Stck.,EUR,0.790,36,0.660,72,0.610,108,0.590,144,0.580,1296,0.550,2592,,,,,,,,
245141336,"PP Signalklebeband `Bruchgefahr` - 3-sprachig",Stck.,EUR,0.790,36,0.660,72,0.610,108,0.590,144,0.580,1296,0.550,2592,,,,,,,,
249190101,"STRETCHFOLIE 100 mm x 150 m, 6 Rol+1 Handabroller",Pck.,EUR,15.310,1,6.930,7,6.250,135,5.880,270,,,,,,,,,,,,
253101230,"PACKPAPIERROLLE 1,0 x 5 m,",Stck.,EUR,1.100,30,0.970,60,0.960,450,0.860,900,,,,,,,,,,,,
253101316,"PACKPAPIERROLLE 1,0 x 10 m,",Stck.,EUR,1.920,16,1.550,48,1.500,384,1.400,768,,,,,,,,,,,,
253101701,"PACKPAPIERROLLE 0,50 x 250m",Stck.,EUR,20.760,1,12.880,44,11.720,88,,,,,,,,,,,,,,
253101801,"PACKPAPIERROLLE 0,60 x 250m",Stck.,EUR,22.860,1,17.300,22,14.980,44,,,,,,,,,,,,,,
253101901,"PACKPAPIERROLLE 0,75 x 250m,",Stck.,EUR,26.120,1,20.560,22,18.240,44,,,,,,,,,,,,,,
253102001,"PACKPAPIERROLLE 0,90 x 250m",Stck.,EUR,29.200,1,23.630,22,0.000,44,,,,,,,,,,,,,,
253102101,"PACKPAPIERROLLE 1,0 x 250 m,",Stck.,EUR,31.310,1,25.740,22,23.430,44,,,,,,,,,,,,,,
253160108,"PACKSEIDE 500x750mm, braun, 2,5kg",Pck.,EUR,6.382,8,5.999,96,,,,,,,,,,,,,,,,
253401401,"Packpapierrolle, braun, 0,7 x 12m",Stck.,EUR,1.820,16,1.470,48,1.300,320,1.250,640,,,,,,,,,,,,
264160401,"PACKPAPIER TISCH-ABROLL-HALTER, Breite 900mm",Stck.,EUR,41.525,1,,,,,,,,,,,,,,,,,,
273160301,"ALLZWECK-DECKE 130 x 200 cm,",Stck.,EUR,12.900,1,3.310,10,2.830,120,,,,,,,,,,,,,,
285100436,"PVC-Klebeband, 50mmx66m",Stck.,EUR,1.240,36,1.060,108,1.030,1296,0.990,2592,,,,,,,,,,,,
285120436,"PVC-Klebeband, 50mmx66m",Stck.,EUR,1.240,36,1.060,108,1.030,1296,0.990,2592,,,,,,,,,,,,
290100100,"Spielhaus, 1145x1912mm,",Stck.,EUR,20.670,1,,,,,,,,,,,,,,,,,,
290200202,"Katzenhaus mit Eingang und Fenster, 420x450x400mm,",Stck.,EUR,10.547,1,8.459,2,6.551,3,5.077,5,3.911,10,3.328,20,,,,,,,,
294110201,"UMREIFUNGSSET, 600m PP-Band+200 PP-Verschluss",Pck.,EUR,23.560,1,14.230,60,,,,,,,,,,,,,,,,
311100120,"Modulbox, 140x101x43mm",Stck.,EUR,0.708,20,0.420,40,0.330,60,0.250,100,0.176,360,0.174,3120,0.159,6240,,,,,,
311100220,"Modulbox, 192x155x43mm, braun,",Stck.,EUR,0.719,20,0.430,40,0.340,60,0.270,100,0.204,240,0.192,2600,0.174,5200,,,,,,
311100310,"Modulbox, 315x300x120mm, braun,",Stck.,EUR,1.773,10,1.210,20,0.996,40,0.978,280,0.812,560,,,,,,,,,,
311100320,"Modulbox, 192x155x91mm, braun,",Stck.,EUR,0.859,20,0.550,40,0.450,60,0.370,100,0.392,240,0.373,1200,0.334,2400,,,,,,
311100410,"Modulbox, 340x315x155mm, braun,",Stck.,EUR,1.883,10,1.320,20,1.132,30,1.113,260,0.935,520,,,,,,,,,,
311100420,"Modulbox, 305x210x91mm, braun,",Stck.,EUR,0.924,20,0.630,40,0.540,60,0.498,120,0.471,840,0.416,1680,,,,,,,,
311100510,"Modulbox, 460x315x155mm, braun,",Stck.,EUR,2.251,10,1.688,20,1.500,30,1.482,260,1.303,520,,,,,,,,,,
311100520,"Modulbox, 305x210x43mm, braun",Stck.,EUR,0.795,20,0.500,40,0.332,100,0.265,1920,0.247,3840,,,,,,,,,,
311101950,"Universalverpackung, A2, 620x420x50mm",Stck.,EUR,1.909,10,1.158,30,1.154,250,0.969,500,,,,,,,,,,,,
311102010,"Versandtasche für KFZ-Zeichen, 140x590x50mm",Stck.,EUR,0.698,25,0.304,200,0.285,2500,0.266,5000,,,,,,,,,,,,
311102020,"KFZ-Verpackung, 522x112x10mm",Stck.,EUR,0.823,20,0.542,40,0.447,60,0.401,80,0.372,100,0.313,1760,0.286,3520,,,,,,
311102120,"Versandverpackung für Schallplatten, 330x330x-75mm",Stck.,EUR,1.014,20,0.732,40,0.591,80,0.556,880,0.503,1760,,,,,,,,,,
311102150,"Versandverpackung für Schallplatten, 326x326x10mm",Stck.,EUR,0.447,50,0.334,100,0.296,150,0.290,1350,0.256,2700,,,,,,,,,,
311102250,"Versandverpackung für Schallplatten, 185x185x10mm",Stck.,EUR,0.359,50,0.246,100,0.209,150,0.190,200,0.171,300,0.168,2700,0.151,5400,,,,,,
311103101,"Kalenderverpackung zum Wickeln, A3, 420x310x10mm",Stck.,EUR,0.328,900,0.277,1800,,,,,,,,,,,,,,,,
311103120,"Modulbox, 335x244x77mm",Stck.,EUR,0.815,20,0.600,40,0.500,80,0.459,1040,0.410,2080,,,,,,,,,,
311103201,"Kalenderverpackung zum Wickeln, A2, 620x420x10mm",Stck.,EUR,0.655,450,0.552,900,,,,,,,,,,,,,,,,
311103301,"Kalenderverpackung zum Wickeln, 800x600x30mm",Stck.,EUR,1.547,400,,,,,,,,,,,,,,,,,,
311103401,"Kalenderverpackung zum Wickeln, 1180x780x30mm",Stck.,EUR,2.496,400,,,,,,,,,,,,,,,,,,
311103601,"Kalenderverpackung zum Wickeln, A4 - 347x247x15mm",Stck.,EUR,0.273,1300,0.237,2600,,,,,,,,,,,,,,,,
311104004,"Versandkarton Bier-Adventskalender, 550x340x300mm",Stck.,EUR,1.960,15,1.630,300,,,,,,,,,,,,,,,,
311104005,"Bier-Adventskalender, 479x322x300mm",Stck.,EUR,15.000,0,8.510,38,,,,,,,,,,,,,,,,
311104100,"Bilderkarton, 900x120x800mm",Stck.,EUR,2.117,240,,,,,,,,,,,,,,,,,,
311104105,"Bilderkarton, 900x120x800mm",Stck.,EUR,4.036,5,2.682,10,2.534,15,,,,,,,,,,,,,,
311104125,"Twist-Buchverpackung A4, 330x240x80mm",Stck.,EUR,0.738,25,0.513,50,0.438,75,0.390,900,0.339,1800,,,,,,,,,,
311113501,"Kalenderverpackung, 500 x 750 mm, braun",Stck.,EUR,1.535,220,,,,,,,,,,,,,,,,,,
311304010,"Automatikbodenkarton, 230x160x80mm",Stck.,EUR,1.333,10,0.770,20,0.432,50,0.319,100,0.269,180,0.257,1700,0.244,3400,,,,,,
311310110,"Automatikbodenkarton, 195x95x90mm",Stck.,EUR,1.286,10,0.722,20,0.441,40,0.253,120,0.191,2880,0.175,5760,,,,,,,,
311310210,"Automatikbodenkarton, 194x194x87mm,",Stck.,EUR,1.410,10,0.847,20,0.565,40,0.377,120,0.348,1440,0.316,2880,,,,,,,,
311310310,"Automatikbodenkarton, 260x200x160mm",Stck.,EUR,1.496,10,0.933,20,0.651,40,0.482,100,0.447,1200,0.408,2400,,,,,,,,
311314410,"Automatikbodenkarton, 380x260x150mm",Stck.,EUR,1.622,10,1.059,20,0.777,40,0.647,80,0.640,640,0.568,1280,,,,,,,,
311314510,"Automatikbodenkarton, 346x243x83mm",Stck.,EUR,1.484,10,1.007,20,0.689,50,0.583,100,0.551,150,0.583,640,0.530,1280,,,,,,
311600010,"Planbox SK - A2 - 435 x 105 x 105 mm, braun,",Stck.,EUR,1.432,10,0.588,40,0.447,80,0.419,100,0.409,900,0.357,1800,,,,,,,,
311600110,"Planbox SK - A1 - 610 x 105 x 105 mm, braun,",Stck.,EUR,1.483,10,0.732,30,0.517,70,0.469,100,0.459,900,0.408,1800,,,,,,,,
311600210,"Planbox SK - 715 x 105 x 105 mm, braun",Stck.,EUR,1.518,10,0.768,30,0.580,60,0.533,80,0.495,900,0.444,1800,,,,,,,,
311600310,"Planbox SK - A0 - 860 x 105 x 105  mm, braun,",Stck.,EUR,1.587,10,1.024,20,0.686,50,0.602,80,0.590,720,0.526,1440,,,,,,,,
311600320,"Planbox SK - Teleskop - 860 x 111 x 111 mm, braun",Stck.,EUR,1.642,10,1.079,20,0.891,30,0.741,50,0.656,80,0.644,720,0.580,1440,,,,,,
311600610,"Planbox SK - 1005 x 105 x 105 mm, braun",Stck.,EUR,1.671,10,1.108,20,0.920,30,0.770,50,0.673,720,0.609,1440,,,,,,,,
311600810,"Planbox SK - 315 x 105 x 105 mm, braun",Stck.,EUR,1.293,10,0.774,20,0.517,40,0.360,100,0.318,180,0.307,1600,0.284,3200,,,,,,
311600910,"Planbox, 510x105x105mm",Stck.,EUR,1.450,10,0.658,30,0.490,70,0.440,100,0.430,900,0.390,1800,,,,,,,,
312401020,"Smart-Mailer 2, braun, 200x200x100mm,",Stck.,EUR,0.791,20,0.509,40,0.341,100,0.307,180,0.298,1320,0.263,2640,,,,,,,,
312401120,"Smart-Mailer 3, braun, 100x200x250mm,",Stck.,EUR,0.839,20,0.557,40,0.388,100,0.356,160,0.346,1320,0.311,2640,,,,,,,,
312401220,"Smart-Mailer 1 , braun, 160x120x110mm,",Stck.,EUR,0.762,20,0.480,40,0.311,100,0.286,200,0.269,1320,0.234,2640,,,,,,,,
312502015,"Versandkarton, 600x400x300mm",Stck.,EUR,2.099,15,1.972,180,1.516,360,,,,,,,,,,,,,,
312502025,"Versandkarton, 500x100x110mm",Stck.,EUR,0.620,25,0.392,50,0.286,100,0.244,200,0.212,1800,0.196,3600,,,,,,,,
312502027,"Versandkarton, 750x430x130mm",Stck.,EUR,3.318,5,2.099,10,2.067,90,1.579,180,,,,,,,,,,,,
312502028,"Versandkarton, 600x600x600mm",Stck.,EUR,4.460,5,4.430,90,3.410,180,,,,,,,,,,,,,,
312502115,"Versandkarton, 400x300x300mm",Stck.,EUR,1.526,15,1.293,180,1.036,360,,,,,,,,,,,,,,
312502125,"Versandkarton, 380x250x200mm",Stck.,EUR,0.736,25,0.541,50,0.445,100,0.371,900,0.350,1800,,,,,,,,,,
312900101,"Versandkarton, 1188x588x579mm",Stck.,EUR,6.006,90,4.585,180,,,,,,,,,,,,,,,,
312905029,"Versandkarton, 700x500x500mm",Stck.,EUR,4.166,5,3.922,90,2.830,180,,,,,,,,,,,,,,
312910008,"Aufbewahrungsbox mit Deckel, 335x245x195mm",Stck.,EUR,3.660,3,3.090,6,0.520,9,2.240,12,1.880,27,1.850,156,1.650,312,,,,,,
312910009,"Aufbewahrungsbox mit Deckel, 493x343x295mm",Stck.,EUR,5.910,3,4.100,6,3.510,9,3.210,12,3.190,78,2.770,156,,,,,,,,
312910010,"Archiv-Klappbox, 410x320x285mm ",Stck.,EUR,2.300,10,1.737,20,1.483,300,1.328,600,,,,,,,,,,,,
312930007,"Stülpdeckelkarton, 305x215x150mm",Stck.,EUR,0.933,20,0.668,40,0.541,80,0.477,160,0.445,2240,,,,,,,,,,
312930008,"Stülpdeckelkarton, 305x215x150mm",Stck.,EUR,0.466,20,0.334,40,0.270,80,0.239,160,0.223,2240,,,,,,,,,,
312930009,"Stülpdeckelkarton, 305x215x150mm",Stck.,EUR,0.466,20,0.334,40,0.270,80,0.239,160,0.223,2240,,,,,,,,,,
312930010,"Stülpdeckelkarton, 305x215x100mm",Stck.,EUR,0.435,20,0.307,40,0.239,80,0.207,180,0.191,2880,,,,,,,,,,
312930011,"Stülpdeckelkarton, 305x215x100mm",Stck.,EUR,0.435,20,0.307,40,0.239,80,0.207,180,0.191,2880,,,,,,,,,,
312930012,"Stülpdeckelkarton, 305x215x100mm",Stck.,EUR,0.869,20,0.615,40,0.477,80,0.413,180,0.382,2880,,,,,,,,,,
312930015,"Versandkarton, 315x315x225mm",Stck.,EUR,1.230,15,0.869,30,1.007,180,0.763,360,,,,,,,,,,,,
312930016,"Stülpdeckelkarton, 305x215x50mm",Stck.,EUR,0.392,20,0.254,40,0.196,80,0.148,240,0.138,3520,,,,,,,,,,
312930017,"Stülpdeckelkarton, 305x215x50mm",Stck.,EUR,0.392,20,0.254,40,0.196,80,0.148,240,0.138,3520,,,,,,,,,,
312930019,"Stülpdeckelkarton, 305x215x50mm",Stck.,EUR,0.784,20,0.509,40,0.392,80,0.297,240,0.276,3520,,,,,,,,,,
312930020,"Versandkarton, 315x210x225mm",Stck.,EUR,0.848,20,0.594,40,0.498,80,0.488,480,0.424,960,,,,,,,,,,
312930115,"Versandkarton, 418x315x225mm",Stck.,EUR,1.236,15,0.905,30,1.028,180,0.801,360,,,,,,,,,,,,
312930120,"Versandkarton, 315x105x225mm",Stck.,EUR,0.700,20,0.452,40,0.369,60,0.286,120,0.317,720,0.261,1440,,,,,,,,
312930215,"Versandkarton, 518x315x225mm",Stck.,EUR,1.261,15,0.933,30,0.859,360,,,,,,,,,,,,,,
312930216,"Versandkarton, 618x315x225mm",Stck.,EUR,1.325,15,1.177,180,0.922,360,,,,,,,,,,,,,,
314112110,"Palettenhütchen `Nicht stapeln` - 3-sprachig,",Stck.,EUR,0.283,100,0.227,200,0.222,1800,0.197,3600,,,,,,,,,,,,
321100015,"Felgenversandkarton, 420x420x215mm ",Stck.,EUR,3.958,4,2.550,8,2.081,12,1.685,24,1.657,180,1.400,360,,,,,,,,
321100100,"Felgenversandkarton, 500x500x290mm ",Stck.,EUR,4.412,4,3.004,8,2.535,12,2.627,90,2.112,180,,,,,,,,,,
