HAN,BEZEICHNUNG,EINHEIT,WAEHRUNG,PREIS0,ABMENGE0,PREIS1,ABMENGE1,PREIS2,ABMENGE2,PREIS3,ABMENGE3,PREIS4,ABMENGE4,PREIS5,ABMENGE5,PREIS6,ABMENGE6,PREIS7,ABMENGE7,PREIS8,ABMENGE8,PREIS9,ABMENGE9
321100115,"Felgenversandkarton, 445x445x240mm",Stck.,EUR,4.039,4,2.631,8,2.162,12,1.781,24,1.738,180,1.481,360,,,,,,,,
321100200,"Felgenversandkarton, 525x525x310mm ",Stck.,EUR,4.566,4,3.158,8,2.689,12,2.781,90,2.266,180,,,,,,,,,,
321100215,"Felgenversandkarton, 470x470x265mm",Stck.,EUR,4.269,4,2.861,8,2.392,12,1.923,24,2.484,90,1.969,180,,,,,,,,
321100300,"Felgenversandkarton, 550x550x340mm",Stck.,EUR,4.789,4,3.381,8,2.911,12,3.003,90,2.488,180,,,,,,,,,,
321100400,"Felgenversandkarton, 575x575x365mm ",Stck.,EUR,4.924,4,3.516,8,3.047,12,3.116,92,2.612,184,,,,,,,,,,
321100500,"Felgenversandkarton, 600x600x390mm",Stck.,EUR,5.399,4,4.461,6,3.522,12,3.614,90,3.099,180,,,,,,,,,,
321100600,"Felgenversandkarton, 660x660x300mm",Stck.,EUR,5.189,4,3.781,8,3.312,12,3.404,90,2.888,180,,,,,,,,,,
321100700,"Felgenversandkarton, 725x725x300mm",Stck.,EUR,5.566,4,4.628,6,3.781,90,3.266,180,,,,,,,,,,,,
321201240,"Pizzakarton, 240x240x40mm",Pck.,EUR,27.560,1,22.366,2,20.670,3,18.550,66,,,,,,,,,,,,
321201260,"Pizzakarton, 260x260x40mm",Pck.,EUR,27.560,1,22.366,2,20.670,3,19.822,33,,,,,,,,,,,,
321201320,"Pizzakarton, 320x320x40mm",Pck.,EUR,31.058,1,25.864,2,23.320,33,,,,,,,,,,,,,,
321201360,"Pizzakarton, 360x360x40mm",Pck.,EUR,36.782,1,31.694,2,29.044,33,,,,,,,,,,,,,,
321201400,"Pizzakarton, 400x400x40mm",Pck.,EUR,42.824,1,36.464,22,,,,,,,,,,,,,,,,
321300100,"Skikarton - alternativ, 290x125x1714mm, VE5",Stck.,EUR,12.084,1,10.017,2,7.632,3,6.625,4,6.042,5,4.823,10,,,,,,,,
321300101,"Lagerkarton, 600x400x300mm (AM), ``Mittel``",Stck.,EUR,11.289,1,4.049,4,2.745,8,2.586,10,1.823,260,1.632,520,,,,,,,,
321300103,"Lagerkarton ``Klein``, 380x360x200mm",Stck.,EUR,10.801,1,3.530,4,2.237,8,1.431,25,1.198,260,1.124,520,,,,,,,,
321300104,"Lagerkarton ``Maxi``, 780x580x360mm",Stck.,EUR,12.529,1,5.353,4,3.911,10,3.795,84,3.328,168,,,,,,,,,,
321300150,"Fahrradkarton, 1580x185x755mm",Stck.,EUR,5.455,150,,,,,,,,,,,,,,,,,,
321300151,"Fahrradkarton, 1580x185x755mm",Stck.,EUR,15.605,1,,,,,,,,,,,,,,,,,,
321600310,"Automatikbodenkarton, 400x260x260mm",Stck.,EUR,1.733,10,1.170,20,0.888,40,0.800,480,,,,,,,,,,,,
321600410,"Automatikbodenkarton, A4+, 310x230x158mm",Stck.,EUR,1.126,10,1.027,20,0.605,80,0.565,680,0.519,1360,,,,,,,,,,
321600510,"Automatikbodenkarton, 160x130x70mm",Stck.,EUR,1.269,10,0.706,20,0.368,50,0.256,100,0.199,200,0.175,2280,0.157,4560,,,,,,
321600610,"Automatikbodenkarton, A5, 213x153x109mm",Stck.,EUR,1.324,10,0.761,20,0.423,50,0.310,100,0.268,160,0.236,1600,0.216,3200,,,,,,
321600810,"Automatikbodenkarton, 289x160x270mm",Stck.,EUR,1.620,10,1.057,20,0.719,50,0.607,100,0.597,900,0.546,1800,,,,,,,,
321601510,"Automatikbodenkarton, 343x243x63mm",Stck.,EUR,1.420,10,0.908,20,0.653,40,0.568,60,0.500,100,0.490,960,0.443,1920,,,,,,
321602010,"Automatikbodenkarton, 260x190x90mm",Stck.,EUR,1.546,10,0.983,20,0.645,50,0.533,100,0.488,300,0.478,1600,0.449,3200,,,,,,
321602110,"Automatikbodenkarton, 200x150x90mm",Stck.,EUR,1.458,10,0.895,20,0.557,50,0.444,100,0.413,180,0.409,1200,0.370,2400,,,,,,
321610411,"Automatikbodenkarton, 310x230x160mm",Stck.,EUR,1.126,10,1.085,20,0.663,80,0.623,680,0.572,1360,,,,,,,,,,
321610511,"Automatikbodenkarton, 160x130x70mm",Stck.,EUR,1.310,10,0.747,20,0.409,50,0.297,100,0.240,200,0.216,2880,,,,,,,,
321610611,"Automatikbodenkarton, A5, 213x153x109mm",Stck.,EUR,1.406,10,0.843,20,0.505,50,0.392,100,0.350,160,0.318,2400,,,,,,,,
322101025,"Großbriefkarton, A4, 345x245x17mm, braun",Stck.,EUR,0.269,100,0.213,200,0.201,250,0.192,2600,0.174,5200,,,,,,,,,,
322102425,"Großbriefkarton, A5, 215x155x15mm, braun",Stck.,EUR,0.200,100,0.144,200,0.120,350,0.111,3900,0.100,7800,,,,,,,,,,
322105510,"Cargobox Plus Automatik, 65x35x37cm",Stck.,EUR,3.321,10,3.740,120,2.967,240,,,,,,,,,,,,,,
322201015,"Versandkarton, 615x440x305mm",Stck.,EUR,2.385,15,2.325,90,1.810,180,,,,,,,,,,,,,,
322201120,"Versandkarton, 255x170x120mm, braun",Stck.,EUR,0.430,40,0.288,80,0.231,1120,0.190,2240,,,,,,,,,,,,
322201215,"Versandkarton, 380x275x370mm",Stck.,EUR,1.473,15,1.237,180,0.980,360,,,,,,,,,,,,,,
322402110,"Versandkarton, 400x300x300mm",Stck.,EUR,1.921,10,1.358,20,1.166,40,1.127,280,0.960,560,,,,,,,,,,
322402310,"Versandkarton, 500x400x300mm,",Stck.,EUR,2.117,10,1.696,20,1.654,140,1.322,280,,,,,,,,,,,,
322402510,"Versandkarton, 800x300x200mm",Stck.,EUR,1.980,10,1.229,30,1.185,280,1.019,560,,,,,,,,,,,,
322403001,"Versandkarton, 588x588x579mm",Stck.,EUR,3.685,5,2.246,150,,,,,,,,,,,,,,,,
322403020,"Versandkarton, 300x200x170mm",Stck.,EUR,0.776,20,0.339,120,0.319,880,0.266,1760,,,,,,,,,,,,
322403025,"Versandkarton, 150x150x150mm",Stck.,EUR,0.490,25,0.292,50,0.193,100,0.122,350,0.139,1800,0.116,4050,,,,,,,,
322403120,"Versandkarton, 430x310x250mm",Stck.,EUR,1.012,20,0.678,80,0.660,440,0.554,880,,,,,,,,,,,,
322403125,"Versandkarton, 200x100x110mm",Stck.,EUR,0.489,25,0.290,50,0.191,100,0.142,200,0.112,500,0.122,2700,0.107,5400,,,,,,
322403220,"Versandkarton, 540x340x320mm ",Stck.,EUR,1.175,20,0.894,40,0.823,440,0.718,880,,,,,,,,,,,,
322403225,"Versandkarton, 200x150x90mm",Stck.,EUR,0.489,25,0.290,50,0.191,100,0.125,300,0.128,2250,0.110,4500,,,,,,,,
322403320,"Versandkarton, 600x400x400mm",Stck.,EUR,1.431,20,1.289,220,1.079,440,,,,,,,,,,,,,,
322403325,"Versandkarton, 215x180x135mm",Stck.,EUR,0.526,25,0.328,50,0.229,100,0.179,200,0.175,1800,0.152,3600,,,,,,,,
322403420,"Versandkarton, 400x300x300mm ",Stck.,EUR,1.028,20,0.684,60,0.676,440,0.570,880,,,,,,,,,,,,
322403425,"Versandkarton, 335x260x140mm",Stck.,EUR,0.604,25,0.300,50,0.306,100,0.298,900,0.253,1800,,,,,,,,,,
322403520,"Versandkarton, 400x300x200mm",Stck.,EUR,0.949,20,0.625,80,0.596,440,0.491,880,,,,,,,,,,,,
322403525,"Versandkarton, 348x245x90mm",Stck.,EUR,0.579,25,0.381,50,0.281,100,0.272,900,0.227,1800,,,,,,,,,,
322403620,"Versandkarton, 800x600x400mm ",Stck.,EUR,3.407,140,2.744,280,,,,,,,,,,,,,,,,
322403625,"Versandkarton, 300x300x150mm",Stck.,EUR,0.624,25,0.426,50,0.318,900,0.272,1800,,,,,,,,,,,,
322403720,"Versandkarton, 600x400x400mm",Stck.,EUR,2.353,10,1.790,20,1.889,140,1.558,280,,,,,,,,,,,,
322403725,"Versandkarton, 230x170x80mm",Stck.,EUR,0.504,25,0.305,50,0.207,100,0.157,200,0.168,1350,0.138,2700,,,,,,,,
322403825,"Versandkarton, 185x185x110mm",Stck.,EUR,0.544,25,0.346,50,0.246,100,0.196,200,0.188,2025,0.168,4050,,,,,,,,
322403925,"Versandkarton, 240x130x130mm",Stck.,EUR,0.506,25,0.307,50,0.209,100,0.154,225,0.150,2025,0.129,4050,,,,,,,,
322404025,"Versandkarton, 185x135x135mm",Stck.,EUR,0.505,25,0.306,50,0.208,100,0.141,300,0.139,2700,0.124,5400,,,,,,,,
322404125,"Versandkarton, 190x150x140mm",Stck.,EUR,0.497,25,0.299,50,0.199,100,0.150,200,0.145,2025,0.123,4050,,,,,,,,
322404225,"Versandkarton, 355x245x135mm",Stck.,EUR,0.619,25,0.421,50,0.322,100,0.314,900,0.268,1800,,,,,,,,,,
322404325,"Versandkarton, 250x150x150mm",Stck.,EUR,0.512,25,0.314,50,0.214,100,0.165,200,0.161,1800,0.138,3600,,,,,,,,
322404425,"Versandkarton, 114x113x100mm",Stck.,EUR,0.458,25,0.260,50,0.161,100,0.094,300,0.080,4500,0.071,9000,,,,,,,,
322404525,"Versandkarton, 250x175x100mm",Stck.,EUR,0.509,25,0.311,50,0.211,100,0.161,200,0.153,2025,0.133,4050,,,,,,,,
322404625,"Versandkarton, 300x215x100mm",Stck.,EUR,0.572,25,0.374,50,0.276,100,0.242,150,0.267,900,0.222,1800,,,,,,,,
322404725,"Versandkarton, 228x160x102mm",Stck.,EUR,0.505,25,0.306,50,0.208,100,0.158,200,0.148,2025,0.128,4050,,,,,,,,
322404825,"Versandkarton, 300x215x140mm",Stck.,EUR,0.570,25,0.372,50,0.253,125,0.234,1350,0.204,2700,,,,,,,,,,
322404925,"Versandkarton, 170x150x100mm",Stck.,EUR,0.485,25,0.287,50,0.188,100,0.122,300,0.129,2025,0.109,4050,,,,,,,,
322405025,"Versandkarton, 320x240x240mm",Stck.,EUR,0.652,25,0.454,50,0.354,100,0.346,900,0.301,1800,,,,,,,,,,
322405115,"Versandkarton, 588x388x378mm",Stck.,EUR,1.698,15,1.945,90,1.491,180,,,,,,,,,,,,,,
322405125,"Versandkarton, 300x300x300mm",Stck.,EUR,0.734,25,0.535,50,0.470,75,0.518,450,0.427,900,,,,,,,,,,
322405215,"Versandkarton, 600x400x400mm",Stck.,EUR,1.646,15,1.892,90,1.438,180,,,,,,,,,,,,,,
322405225,"Versandkarton, 330x260x180mm",Stck.,EUR,0.640,25,0.442,50,0.376,75,0.334,900,0.289,1800,,,,,,,,,,
322405325,"Versandkarton, 250x200x140mm",Stck.,EUR,0.540,25,0.341,50,0.210,150,0.204,1350,0.174,2700,,,,,,,,,,
322405410,"CargoBox Plus M 60x40x30cm, 72L, 2-wellig, VE 10",Stck.,EUR,3.144,10,3.049,90,2.533,180,,,,,,,,,,,,,,
322405505,"Gläserkarton, 64x34x36cm",Stck.,EUR,5.151,5,4.025,10,3.929,90,3.414,180,,,,,,,,,,,,
322405510,"CargoBox Plus L, braun, 64x34x36cm, 2-wellig,VE 10",Stck.,EUR,2.604,10,2.508,90,1.993,180,,,,,,,,,,,,,,
322405610,"CargoBox Plus XL,138,6L,  braun, 75x42x44cm, VE 10",Stck.,EUR,4.826,90,3.796,180,,,,,,,,,,,,,,,,
323101000,"Felgenpappe, 550x550mm",Stck.,EUR,1.767,8,1.063,16,0.711,32,0.535,64,0.487,88,0.525,560,,,,,,,,
343101201,"Luftpolstertasche, Gr.1, 100x165mm, braun",Stck.,EUR,0.080,200,0.055,400,0.043,800,0.045,7800,0.038,15600,,,,,,,,,,
343101202,"Luftpolstertasche, Gr. 2, 120x215mm, braun",Stck.,EUR,0.087,200,0.063,400,0.054,600,0.061,4400,0.049,8800,,,,,,,,,,
343102101,"Luftpolstertasche, Gr. 3, 150x215mm, braun",Stck.,EUR,0.141,100,0.092,200,0.063,500,0.071,3400,0.057,6800,,,,,,,,,,
343102102,"Luftpolstertasche, Gr. 4, 180x265mm, braun",Stck.,EUR,0.158,100,0.096,300,0.093,2600,0.077,5200,,,,,,,,,,,,
343102103,"Luftpolstertasche, Gr. 5, 220x265mm, braun",Stck.,EUR,0.168,100,0.119,200,0.102,300,0.115,2200,0.092,4400,,,,,,,,,,
343102104,"Luftpolstertasche, Gr. 6, 220x340mm, braun",Stck.,EUR,0.182,100,0.133,200,0.141,1600,0.113,3200,,,,,,,,,,,,
343102105,"Luftpolstertasche, Gr. 7, 230x340mm, braun",Stck.,EUR,0.185,100,0.136,200,0.154,1600,0.120,3200,,,,,,,,,,,,
343102106,"Luftpolstertasche, Gr.8, 270x360mm, braun",Stck.,EUR,0.198,100,0.167,1200,0.134,2400,,,,,,,,,,,,,,
343103050,"Luftpolstertasche, Gr.9, 300x445mm, braun",Stck.,EUR,0.337,50,0.256,900,0.199,1800,,,,,,,,,,,,,,
343103150,"Luftpolstertasche, Gr.10, 350x470mm, braun",Stck.,EUR,0.368,50,0.288,800,0.230,1600,,,,,,,,,,,,,,
343104150,"Luftpolstertasche, CD, 180x165mm, braun",Stck.,EUR,0.143,100,0.077,300,0.067,4000,0.056,8000,,,,,,,,,,,,
343111201,"Luftpolstertasche, GR. 1, 100x165mm, weiß",Stck.,EUR,0.080,200,0.055,400,0.043,800,0.043,7800,0.038,15600,,,,,,,,,,
343111202,"Luftpolstertasche, GR.2 120x215mm, weiß",Stck.,EUR,0.087,200,0.063,400,0.059,600,0.058,4400,0.049,8800,,,,,,,,,,
343111203,"Luftpolstertasche, CD, 180x165mm, weiß",Stck.,EUR,0.143,100,0.094,200,0.077,300,0.067,4000,0.056,8000,,,,,,,,,,
343112101,"Luftpolstertasche, Gr. 3, 150x215mm, weiß",Stck.,EUR,0.141,100,0.093,200,0.076,300,0.068,400,0.071,500,0.071,3400,0.057,6800,,,,,,
343112102,"Luftpolstertasche, Gr. 4, 180x265mm, weiß",Stck.,EUR,0.158,100,0.096,300,0.093,2600,0.077,5200,,,,,,,,,,,,
343112103,"Luftpolstertasche, Gr. 5, 220x265mm, weiß",Stck.,EUR,0.168,100,0.119,200,0.102,300,0.115,2200,0.092,4400,,,,,,,,,,
343112104,"Luftpolstertasche, Gr. 6, 220x340mm, weiß",Stck.,EUR,0.182,100,0.147,200,0.141,1600,0.113,3200,,,,,,,,,,,,
343112105,"Luftpolstertasche, Gr. 7, 230x340mm, weiß",Stck.,EUR,0.185,100,0.156,200,0.154,1600,0.120,3200,,,,,,,,,,,,
343112106,"Luftpolstertasche, Gr. 8, 270x360mm, weiß",Stck.,EUR,0.198,100,0.167,1200,0.134,2400,,,,,,,,,,,,,,
343113050,"Luftpolstertasche, Gr.9, 300x445mm, weiß",Stck.,EUR,0.337,50,0.256,900,0.199,1800,,,,,,,,,,,,,,
343113150,"Luftpolstertasche, Gr.10, 350x470mm, weiß",Stck.,EUR,0.368,50,0.288,800,0.230,1600,,,,,,,,,,,,,,
343421301,"Ministretch-Set, transp., 0,1x150m, 23mµ, VE 12",Stck.,EUR,2.794,12,2.142,60,2.099,672,2.039,1344,,,,,,,,,,,,
343481065,"Soft-Fill im Polybeutel, 65 liter, VE 1",Pck.,EUR,13.702,1,10.000,13,6.410,26,,,,,,,,,,,,,,
740799501,"E-Commerce Faltbodenschachtel, MINI, 300x240x60mm",Stck.,EUR,0.823,20,0.541,40,0.400,80,0.330,1320,0.295,2640,,,,,,,,,,
740799601,"E-Commerce Faltbodenschachtel, KLEIN, 400x300x80mm",Stck.,EUR,0.937,20,0.655,40,0.632,360,0.502,720,,,,,,,,,,,,
740799701,"E-Commerce Faltenschachtel, MITTEL, 510x310x100mm,",Stck.,EUR,1.500,10,1.140,20,0.901,40,0.866,320,0.721,640,,,,,,,,,,
740799801,"E-Commerce Faltbodenschachtel,GROSS, 600x400x200mm",Stck.,EUR,2.454,10,1.907,160,1.618,320,,,,,,,,,,,,,,
740910602,"Warenpostkarton, IM: 337x245x27mm",Stck.,EUR,0.386,50,0.273,100,0.235,150,0.193,2800,0.177,5600,,,,,,,,,,
740910605,"Kleinpaket Fefco0201, 345x245x70mm",Stck.,EUR,0.599,25,0.395,50,0.325,100,0.304,900,0.247,1800,,,,,,,,,,
742100456,"Versandkarton - Logistik - 793x593x487mm, braun,",Stck.,EUR,2.945,240,,,,,,,,,,,,,,,,,,
742102456,"Fefco 0201 - Logistik - 793x593x298mm, braun, NEU",Stck.,EUR,2.571,240,,,,,,,,,,,,,,,,,,
912502291,"Mais und Weizenkarton, 550x450x200mm",Stck.,EUR,1.579,15,1.495,150,,,,,,,,,,,,,,,,
941101010,"1,5l Karton für Bag-in-Box, 130x85x190mm",Stck.,EUR,1.150,10,0.660,20,0.500,30,0.420,40,0.340,60,0.300,80,0.270,100,0.230,200,0.220,360,0.210,2640
941101110,"3l Karton für Bag-in-Box, 143x134x220mm",Stck.,EUR,1.240,10,0.750,20,0.590,30,0.510,40,0.430,60,0.380,80,0.360,100,0.340,200,0.330,1280,0.300,2560
941101210,"5l Karton für Bag-in-Box, 163x150x243mm",Stck.,EUR,1.340,10,0.860,20,0.690,30,0.610,40,0.530,60,0.490,80,0.460,100,0.450,1200,0.410,2400,,
941101310,"10l Karton für Bag-in-Box, 245x150x340mm",Stck.,EUR,1.600,10,1.110,20,0.950,30,0.860,400,0.740,800,,,,,,,,,,
941101410,"20l Karton für Bag-in-Box, 295x200x390mm",Stck.,EUR,1.960,10,1.470,20,1.310,30,1.220,400,1.100,800,,,,,,,,,,
941102010,"1,5l Beutel für Bag-in-Box, 320x200mm (AM)",Stck.,EUR,0.403,400,0.615,6000,,,,,,,,,,,,,,,,
941102110,"3l Beutel für Bag-in-Box, 350x265mm (AM)",Stck.,EUR,0.583,450,0.551,7000,,,,,,,,,,,,,,,,
941102210,"5l Beutel für Bag-in-Box, 400x320mm (AM)",Stck.,EUR,0.657,450,0.615,6300,,,,,,,,,,,,,,,,
941102310,"10l Beutel für Bag-in-Box, 500x400mm (AM)",Stck.,EUR,0.795,350,0.742,4900,,,,,,,,,,,,,,,,
941102410,"20l Beutel für Bag-in-Box, 600x500mm (AM)",Stck.,EUR,1.389,300,1.367,3000,,,,,,,,,,,,,,,,
942103005,"Faltkarton für 6er Flaschen, 305x212x368mm",Stck.,EUR,1.018,300,,,,,,,,,,,,,,,,,,
942103010,"Faltkarton für 2er Flaschen, 204x108x368mm",Stck.,EUR,0.512,600,,,,,,,,,,,,,,,,,,
942103105,"Faltkarton für 9er Flaschen, 316x305x368mm",Stck.,EUR,1.432,300,,,,,,,,,,,,,,,,,,
942103205,"Faltkarton für 12er Flaschen, 420x305x368mm",Stck.,EUR,1.926,150,,,,,,,,,,,,,,,,,,
942103210,"Faltkarton für 4er Flaschen, 212x204x368mm",Stck.,EUR,0.744,450,,,,,,,,,,,,,,,,,,
942103305,"Faltkarton für 15er Flaschen, 524x305x368mm",Stck.,EUR,2.580,150,,,,,,,,,,,,,,,,,,
942103405,"Faltkarton für 18er Flaschen, 628x305x368mm",Stck.,EUR,2.844,150,,,,,,,,,,,,,,,,,,
942104010,"Faltkarton f. 3er Bierflaschen, 255x88x288mm ",Stck.,EUR,0.456,900,,,,,,,,,,,,,,,,,,
942104020,"Faltkarton f. 6er Bierflaschen, 255x175x294mm",Stck.,EUR,0.792,600,,,,,,,,,,,,,,,,,,
942104030,"Faltkarton f. 9er Bierflaschen, 265x255x288mm",Stck.,EUR,1.108,300,,,,,,,,,,,,,,,,,,
942104040,"Faltkarton f. 12er Bierflaschen, 353x255x288mm",Stck.,EUR,1.224,300,,,,,,,,,,,,,,,,,,
942104050,"Faltkarton f. 15er Bierflaschen, 440x255x288mm",Stck.,EUR,1.420,300,,,,,,,,,,,,,,,,,,
942104060,"Faltkarton f. 18er Bierflaschen, 528x255x288mm",Stck.,EUR,2.016,150,,,,,,,,,,,,,,,,,,
942104070,"Faltkarton f. 24er Bierflaschen, 510x353x288mm",Stck.,EUR,2.778,150,,,,,,,,,,,,,,,,,,
942104080,"Bierfasskarton, 228x228x271mm ",Stck.,EUR,0.738,600,,,,,,,,,,,,,,,,,,
942115020,"Teleskophülle 2-wellig, 112x112x1050mm",Stck.,EUR,1.923,10,1.078,40,1.077,330,0.937,660,,,,,,,,,,,,
942115210,"Versandhülse quadr., teleskopierbar bis 1600mm",Stck.,EUR,1.430,10,0.679,30,0.429,90,0.401,950,0.352,1900,,,,,,,,,,
942115310,"Versandhülse quadr., teleskopierbar bis 1850mm",Stck.,EUR,1.520,10,0.957,20,0.675,40,0.534,80,0.516,760,0.455,1520,,,,,,,,
942183005,"Faltkarton für 6er Flaschen, 305x212x368mm",Stck.,EUR,0.880,440,,,,,,,,,,,,,,,,,,
942183105,"Faltkarton für 9er Flaschen, 316x305x368mm",Stck.,EUR,1.270,300,,,,,,,,,,,,,,,,,,
942183205,"Faltkarton für 12er Flaschen, 420x305x368mm",Stck.,EUR,1.730,150,,,,,,,,,,,,,,,,,,
942183305,"Faltkarton für 15er Flaschen, 524x305x368mm",Stck.,EUR,2.100,150,,,,,,,,,,,,,,,,,,
942183405,"Faltkarton für 18er Flaschen, 628x305x368mm",Stck.,EUR,2.270,150,,,,,,,,,,,,,,,,,,
942210010,"Stanzzuschnitt, 2er Einlage, f. Flaschenkartons",Stck.,EUR,5.000,600,,,,,,,,,,,,,,,,,,
942210110,"Stanzzuschnitt, 3er Einlage, f. Flaschenkartons",Stck.,EUR,5.000,1,5.000,600,,,,,,,,,,,,,,,,
942210210,"Stanzzuschnitt, 3er Automatik-Einlage,",Stck.,EUR,5.000,1,5.000,640,,,,,,,,,,,,,,,,
942210710,"Stanzzuschnitt, 3er Einlage f. Bierkartons",Stck.,EUR,5.000,900,,,,,,,,,,,,,,,,,,
942210810,"Stanzzuschnitt, 3er Einlage f. GIN-Verpackung",Stck.,EUR,5.000,600,,,,,,,,,,,,,,,,,,
942280110,"Stanzzuschnitt, 3er Einlage f. Flaschen",Stck.,EUR,5.000,600,,,,,,,,,,,,,,,,,,
945102010,"Stanzzuschnitt, Einlage für 5l Bierfass",Stck.,EUR,0.246,1200,,,,,,,,,,,,,,,,,,
945103001,"Faltkarton für 1er Magnumflasche, 144x144x425 mm ",Stck.,EUR,1.160,175,0.880,350,,,,,,,,,,,,,,,,
945103020,"Stanzzuschnitt für 1 Flasche, 105x105x420mm",Stck.,EUR,0.830,20,0.610,40,0.530,60,0.490,960,,,,,,,,,,,,
945103110,"Faltkarton für 3er Flaschen, 305x108x368mm",Stck.,EUR,0.654,600,,,,,,,,,,,,,,,,,,
945106001,"GIN-Verpackung 1er, 95x95x293mm",Stck.,EUR,1.270,10,0.780,20,0.540,40,0.370,1200,,,,,,,,,,,,
945106015,"GIN-Verpackung 3er, 326x115x278mm",Stck.,EUR,0.601,600,,,,,,,,,,,,,,,,,,
945106115,"GIN-Verpackung 6er, 326x226x278mm",Stck.,EUR,1.212,300,,,,,,,,,,,,,,,,,,
950100100,"Packseide 500x750mm, grau 30g/m²",kg,EUR,1.921,25,,,,,,,,,,,,,,,,,,
960115110,"Versandhülse quadr., teleskopierbar bis 1400mm",Stck.,EUR,1.389,10,0.544,40,0.403,80,0.375,100,0.360,950,0.312,1900,,,,,,,,